movie,year,director,stars,gender
Skyline,2010,Colin Strause,Greg Strause,Na
Skyline,2010,Colin Strause,Eric Balfour,M
Skyline,2010,Colin Strause,Donald Faison,M
Skyline,2010,Colin Strause,Scottie Thompson,F
Skyline,2010,Colin Strause,Brittany Daniel,F
Takers,2010,John Luessenhop,Chris Brown,M
Takers,2010,John Luessenhop,Hayden Christensen,M
Takers,2010,John Luessenhop,Matt Dillon,M
Takers,2010,John Luessenhop,Michael Ealy,M
When in Rome,2010,Mark Steven Johnson,Kristen Bell,F
When in Rome,2010,Mark Steven Johnson,Josh Duhamel,M
When in Rome,2010,Mark Steven Johnson,Anjelica Huston,F
When in Rome,2010,Mark Steven Johnson,Danny DeVito,M
Youth in Revolt,2009,Miguel Arteta,Michael Cera,M
Youth in Revolt,2009,Miguel Arteta,Portia Doubleday,F
Youth in Revolt,2009,Miguel Arteta,Jean Smart,F
Youth in Revolt,2009,Miguel Arteta,Zach Galifianakis,M
The Debt,I 2010,John Madden,Helen Mirren,F
The Debt,I 2010,John Madden,Sam Worthington,M
The Debt,I 2010,John Madden,Tom Wilkinson,M
The Debt,I 2010,John Madden,Jessica Chastain,F
The Dilemma,2011,Ron Howard,Vince Vaughn,M
The Dilemma,2011,Ron Howard,Kevin James,M
The Dilemma,2011,Ron Howard,Winona Ryder,F
The Dilemma,2011,Ron Howard,Jennifer Connelly,F
The Eagle,2011,Kevin Macdonald,Channing Tatum,M
The Eagle,2011,Kevin Macdonald,Jamie Bell,M
The Eagle,2011,Kevin Macdonald,Donald Sutherland,M
The Eagle,2011,Kevin Macdonald,István Göz,M
Mr. Popper's Penguins,2011,Mark Waters,Jim Carrey,M
Mr. Popper's Penguins,2011,Mark Waters,Carla Gugino,F
Mr. Popper's Penguins,2011,Mark Waters,Angela Lansbury,F
Mr. Popper's Penguins,2011,Mark Waters,Ophelia Lovibond,F
Arthur Christmas,2011,Sarah Smith,Barry Cook,Na
Arthur Christmas,2011,Sarah Smith,James McAvoy,M
Arthur Christmas,2011,Sarah Smith,Jim Broadbent,M
Arthur Christmas,2011,Sarah Smith,Bill Nighy,M
Arthur Christmas,2011,Sarah Smith,Hugh Laurie,M
The Big Year,2011,David Frankel,Owen Wilson,M
The Big Year,2011,David Frankel,Jack Black,M
The Big Year,2011,David Frankel,Steve Martin,M
The Big Year,2011,David Frankel,John Cleese,M
Dream House,2011,Jim Sheridan,Daniel Craig,M
Dream House,2011,Jim Sheridan,Rachel Weisz,F
Dream House,2011,Jim Sheridan,Naomi Watts,F
Dream House,2011,Jim Sheridan,Elias Koteas,M
Atlas Shrugged II: The Strike,2012,John Putch,Samantha Mathis,F
Atlas Shrugged II: The Strike,2012,John Putch,Jason Beghe,M
Atlas Shrugged II: The Strike,2012,John Putch,Esai Morales,M
Atlas Shrugged II: The Strike,2012,John Putch,Patrick Fabian,M
Karigurashi no Arietty,2010,Hiromasa Yonebayashi,Amy Poehler,F
Karigurashi no Arietty,2010,Hiromasa Yonebayashi,Will Arnett,M
Karigurashi no Arietty,2010,Hiromasa Yonebayashi,Mirai Shida,F
Karigurashi no Arietty,2010,Hiromasa Yonebayashi,Ryûnosuke Kamiki,M
A Thousand Words,I 2012,Brian Robbins,Eddie Murphy,M
A Thousand Words,I 2012,Brian Robbins,Cliff Curtis,M
A Thousand Words,I 2012,Brian Robbins,Kerry Washington,F
A Thousand Words,I 2012,Brian Robbins,Clark Duke,M
Maniac,2012,Franck Khalfoun,Elijah Wood,M
Maniac,2012,Franck Khalfoun,Nora Arnezeder,F
Maniac,2012,Franck Khalfoun,America Olivo,F
Maniac,2012,Franck Khalfoun,Megan Duffy,F
The East,2013,Zal Batmanglij,Brit Marling,F
The East,2013,Zal Batmanglij,Alexander Skarsgård,M
The East,2013,Zal Batmanglij,Elliot Page,M
The East,2013,Zal Batmanglij,Toby Kebbell,M
Gravity,2013,Alfonso Cuarón,Sandra Bullock,F
Gravity,2013,Alfonso Cuarón,George Clooney,M
Gravity,2013,Alfonso Cuarón,Ed Harris,M
Gravity,2013,Alfonso Cuarón,Orto Ignatiussen,M
"For a Good Time, Call...",2012,Jamie Travis,Ari Graynor,F
"For a Good Time, Call...",2012,Jamie Travis,Lauren Miller Rogen,F
"For a Good Time, Call...",2012,Jamie Travis,Justin Long,M
"For a Good Time, Call...",2012,Jamie Travis,James Wolk,M
Eden,I 2012,Megan Griffiths,Jamie Chung,F
Eden,I 2012,Megan Griffiths,Beau Bridges,M
Eden,I 2012,Megan Griffiths,Matt O'Leary,M
Eden,I 2012,Megan Griffiths,Eddie Martinez,M
Sushi Girl,2012,Kern Saxton,Neal Fischer,M
Sushi Girl,2012,Kern Saxton,Cortney Palm,F
Sushi Girl,2012,Kern Saxton,Tony Todd,M
Sushi Girl,2012,Kern Saxton,Noah Hathaway,M
The ABCs of Death,2012,Kaare Andrews,Angela Bettis,F
The ABCs of Death,2012,Kaare Andrews,Hélène Cattet,Na
The ABCs of Death,2012,Kaare Andrews,Ernesto Díaz Espinoza,Na
The ABCs of Death,2012,Kaare Andrews,Jason Eisener,Na
The ABCs of Death,2012,Kaare Andrews,Bruno Forzani,Na
The ABCs of Death,2012,Kaare Andrews,Adrian Garcia Bogliano,M
The ABCs of Death,2012,Kaare Andrews,Xavier Gens,Na
The ABCs of Death,2012,Kaare Andrews,Jorge Michel Grau,Na
The ABCs of Death,2012,Kaare Andrews,Lee Hardcastle,M
The ABCs of Death,2012,Kaare Andrews,Noboru Iguchi,M
The ABCs of Death,2012,Kaare Andrews,Thomas Cappelen Malling,Na
The ABCs of Death,2012,Kaare Andrews,Anders Morgenthaler,M
The ABCs of Death,2012,Kaare Andrews,Yoshihiro Nishimura,Na
The ABCs of Death,2012,Kaare Andrews,Banjong Pisanthanakun,M
The ABCs of Death,2012,Kaare Andrews,Simon Rumley,Na
The ABCs of Death,2012,Kaare Andrews,Marcel Sarmiento,Na
The ABCs of Death,2012,Kaare Andrews,Jon Schnepp,Na
The ABCs of Death,2012,Kaare Andrews,Srdjan Spasojevic,Na
The ABCs of Death,2012,Kaare Andrews,Timo Tjahjanto,Na
The ABCs of Death,2012,Kaare Andrews,Andrew Traucki,Na
The ABCs of Death,2012,Kaare Andrews,Nacho Vigalondo,M
The ABCs of Death,2012,Kaare Andrews,Jake West,Na
The ABCs of Death,2012,Kaare Andrews,Ti West,Na
The ABCs of Death,2012,Kaare Andrews,Ben Wheatley,Na
The ABCs of Death,2012,Kaare Andrews,Adam Wingard,Na
The ABCs of Death,2012,Kaare Andrews,Yudai Yamaguchi,Na
The ABCs of Death,2012,Kaare Andrews,Ingrid Bolsø Berdal,F
The ABCs of Death,2012,Kaare Andrews,Iván González,M
The ABCs of Death,2012,Kaare Andrews,Kyra Zagorsky,F
The ABCs of Death,2012,Kaare Andrews,Lucy Clements,F
Vamps,2012,Amy Heckerling,Alicia Silverstone,F
Vamps,2012,Amy Heckerling,Krysten Ritter,F
Vamps,2012,Amy Heckerling,Larry Wilmore,M
Vamps,2012,Amy Heckerling,Bettina Bresnan,F
Las aventuras de Tadeo Jones,2012,Enrique Gato,Óscar Barberán,M
Las aventuras de Tadeo Jones,2012,Enrique Gato,Michelle Jenner,F
Las aventuras de Tadeo Jones,2012,Enrique Gato,José Mota,M
Las aventuras de Tadeo Jones,2012,Enrique Gato,José Corbacho,M
A Late Quartet,2012,Yaron Zilberman,Philip Seymour Hoffman,M
A Late Quartet,2012,Yaron Zilberman,Christopher Walken,M
A Late Quartet,2012,Yaron Zilberman,Catherine Keener,F
A Late Quartet,2012,Yaron Zilberman,Mark Ivanir,M
Cleanskin,2012,Hadi Hajaig,Sean Bean,M
Cleanskin,2012,Hadi Hajaig,Charlotte Rampling,F
Cleanskin,2012,Hadi Hajaig,Abhin Galeya,M
Cleanskin,2012,Hadi Hajaig,Tom Burke,M
The Pact,II 2012,Nicholas McCarthy,Caity Lotz,F
The Pact,II 2012,Nicholas McCarthy,Casper Van Dien,M
The Pact,II 2012,Nicholas McCarthy,Mark Steger,M
The Pact,II 2012,Nicholas McCarthy,Agnes Bruckner,F
Grave Encounters 2,2012,John Poliquin,Richard Harmon,M
Grave Encounters 2,2012,John Poliquin,Shawn C. Phillips,M
Grave Encounters 2,2012,John Poliquin,Jennica Fulton,F
Grave Encounters 2,2012,John Poliquin,Jeffrey Bowyer-Chapman,M
Red State,2011,Kevin Smith,Michael Parks,M
Red State,2011,Kevin Smith,Melissa Leo,F
Red State,2011,Kevin Smith,John Goodman,M
Red State,2011,Kevin Smith,Michael Angarano,M
Sleeping Beauty,2011,Julia Leigh,Emily Browning,F
Sleeping Beauty,2011,Julia Leigh,Rachael Blake,F
Sleeping Beauty,2011,Julia Leigh,Ewen Leslie,M
Sleeping Beauty,2011,Julia Leigh,Bridgette Barrett,F
Seeking Justice,2011,Roger Donaldson,Nicolas Cage,M
Seeking Justice,2011,Roger Donaldson,January Jones,F
Seeking Justice,2011,Roger Donaldson,Guy Pearce,M
Seeking Justice,2011,Roger Donaldson,Harold Perrineau,M
The Double,I 2011,Michael Brandt,Richard Gere,M
The Double,I 2011,Michael Brandt,Topher Grace,M
The Double,I 2011,Michael Brandt,Martin Sheen,M
The Double,I 2011,Michael Brandt,Tamer Hassan,M
Take Shelter,2011,Jeff Nichols,Michael Shannon,M
Take Shelter,2011,Jeff Nichols,Jessica Chastain,F
Take Shelter,2011,Jeff Nichols,Shea Whigham,M
Take Shelter,2011,Jeff Nichols,Tova Stewart,F
Trespass,2011,Joel Schumacher,Nicolas Cage,M
Trespass,2011,Joel Schumacher,Nicole Kidman,F
Trespass,2011,Joel Schumacher,Cam Gigandet,M
Trespass,2011,Joel Schumacher,Ben Mendelsohn,M
Perfect Sense,2011,David Mackenzie,Ewan McGregor,M
Perfect Sense,2011,David Mackenzie,Eva Green,F
Perfect Sense,2011,David Mackenzie,Lauren Tempany,F
Perfect Sense,2011,David Mackenzie,Connie Nielsen,F
The Company Men,2010,John Wells,Ben Affleck,M
The Company Men,2010,John Wells,Chris Cooper,M
The Company Men,2010,John Wells,Tommy Lee Jones,M
The Company Men,2010,John Wells,Suzanne Rico,F
13,I 2010,Géla Babluani,Sam Riley,M
13,I 2010,Géla Babluani,Alice Barrett,F
13,I 2010,Géla Babluani,Gaby Hoffmann,F
13,I 2010,Géla Babluani,Jason Statham,M
Flipped,I 2010,Rob Reiner,Madeline Carroll,F
Flipped,I 2010,Rob Reiner,Callan McAuliffe,M
Flipped,I 2010,Rob Reiner,Rebecca De Mornay,F
Flipped,I 2010,Rob Reiner,Anthony Edwards,M
Dirty Girl,2010,Abe Sylvia,Juno Temple,F
Dirty Girl,2010,Abe Sylvia,Jeremy Dozier,M
Dirty Girl,2010,Abe Sylvia,Milla Jovovich,F
Dirty Girl,2010,Abe Sylvia,Zach Lasry,M
Beginners,2010,Mike Mills,Ewan McGregor,M
Beginners,2010,Mike Mills,Christopher Plummer,M
Beginners,2010,Mike Mills,Mélanie Laurent,F
Beginners,2010,Mike Mills,Goran Visnjic,M
Valhalla Rising,2009,Nicolas Winding Refn,Mads Mikkelsen,M
Valhalla Rising,2009,Nicolas Winding Refn,Maarten Stevenson,M
Valhalla Rising,2009,Nicolas Winding Refn,Alexander Morton,M
Valhalla Rising,2009,Nicolas Winding Refn,Stewart Porter,M
Mary and Max.,2009,Adam Elliot,Toni Collette,F
Mary and Max.,2009,Adam Elliot,Philip Seymour Hoffman,M
Mary and Max.,2009,Adam Elliot,Eric Bana,M
Mary and Max.,2009,Adam Elliot,Barry Humphries,M
Chloe,2009,Atom Egoyan,Julianne Moore,F
Chloe,2009,Atom Egoyan,Amanda Seyfried,F
Chloe,2009,Atom Egoyan,Liam Neeson,M
Chloe,2009,Atom Egoyan,Max Thieriot,M
In the Loop,2009,Armando Iannucci,Tom Hollander,M
In the Loop,2009,Armando Iannucci,Peter Capaldi,M
In the Loop,2009,Armando Iannucci,James Gandolfini,M
In the Loop,2009,Armando Iannucci,Harry Hadden-Paton,M
The Human Centipede (First Sequence),2009,Tom Six,Dieter Laser,M
The Human Centipede (First Sequence),2009,Tom Six,Ashley C. Williams,F
The Human Centipede (First Sequence),2009,Tom Six,Ashlynn Yennie,F
The Human Centipede (First Sequence),2009,Tom Six,Akihiro Kitamura,M
Personal Effects,2009,David Hollander,Michelle Pfeiffer,F
Personal Effects,2009,David Hollander,Ashton Kutcher,M
Personal Effects,2009,David Hollander,Kathy Bates,F
Personal Effects,2009,David Hollander,Spencer Hudson,M
Cashback,2006,Sean Ellis,Sean Biggerstaff,M
Cashback,2006,Sean Ellis,Emilia Fox,F
Cashback,2006,Sean Ellis,Michelle Ryan,F
Cashback,2006,Sean Ellis,Erica Ellis,F
Butterfly on a Wheel,2007,Mike Barker,Pierce Brosnan,M
Butterfly on a Wheel,2007,Mike Barker,Maria Bello,F
Butterfly on a Wheel,2007,Mike Barker,Gerard Butler,M
Butterfly on a Wheel,2007,Mike Barker,Emma Karwandy,F
St. Trinian's,2007,Oliver Parker,Barnaby Thompson,Na
St. Trinian's,2007,Oliver Parker,Talulah Riley,F
St. Trinian's,2007,Oliver Parker,Rupert Everett,M
St. Trinian's,2007,Oliver Parker,Gemma Arterton,F
St. Trinian's,2007,Oliver Parker,Jodie Whittaker,F
Half Nelson,2006,Ryan Fleck,Ryan Gosling,M
Half Nelson,2006,Ryan Fleck,Anthony Mackie,M
Half Nelson,2006,Ryan Fleck,Shareeka Epps,F
Half Nelson,2006,Ryan Fleck,Jeff Lima,M
East Is East,1999,Damien O'Donnell,Om Puri,M
East Is East,1999,Damien O'Donnell,Linda Bassett,F
East Is East,1999,Damien O'Donnell,Jordan Routledge,M
East Is East,1999,Damien O'Donnell,Archie Panjabi,F
Secretary,2002,Steven Shainberg,James Spader,M
Secretary,2002,Steven Shainberg,Maggie Gyllenhaal,F
Secretary,2002,Steven Shainberg,Jeremy Davies,M
Secretary,2002,Steven Shainberg,Lesley Ann Warren,F
Maleficent,2014,Robert Stromberg,Angelina Jolie,F
Maleficent,2014,Robert Stromberg,Elle Fanning,F
Maleficent,2014,Robert Stromberg,Sharlto Copley,M
Maleficent,2014,Robert Stromberg,Lesley Manville,F
Hercules,I 2014,Brett Ratner,Dwayne Johnson,M
Hercules,I 2014,Brett Ratner,John Hurt,M
Hercules,I 2014,Brett Ratner,Ian McShane,M
Hercules,I 2014,Brett Ratner,Joseph Fiennes,M
Young Frankenstein,1974,Mel Brooks,Gene Wilder,M
Young Frankenstein,1974,Mel Brooks,Madeline Kahn,F
Young Frankenstein,1974,Mel Brooks,Marty Feldman,M
Young Frankenstein,1974,Mel Brooks,Peter Boyle,M
Robin Hood,1973,Wolfgang Reitherman,David Hand,Na
Robin Hood,1973,Wolfgang Reitherman,Brian Bedford,M
Robin Hood,1973,Wolfgang Reitherman,Phil Harris,M
Robin Hood,1973,Wolfgang Reitherman,Roger Miller,M
Robin Hood,1973,Wolfgang Reitherman,Peter Ustinov,M
Network,1976,Sidney Lumet,Faye Dunaway,F
Network,1976,Sidney Lumet,William Holden,M
Network,1976,Sidney Lumet,Peter Finch,M
Network,1976,Sidney Lumet,Robert Duvall,M
Close Encounters of the Third Kind,1977,Steven Spielberg,Richard Dreyfuss,M
Close Encounters of the Third Kind,1977,Steven Spielberg,François Truffaut,Na
Close Encounters of the Third Kind,1977,Steven Spielberg,Teri Garr,F
Close Encounters of the Third Kind,1977,Steven Spielberg,Melinda Dillon,F
Annie Hall,1977,Woody Allen,Diane Keaton,F
Annie Hall,1977,Woody Allen,Tony Roberts,M
Annie Hall,1977,Woody Allen,Carol Kane,F
The Warriors,1979,Walter Hill,Michael Beck,M
The Warriors,1979,Walter Hill,James Remar,M
The Warriors,1979,Walter Hill,Dorsey Wright,M
The Warriors,1979,Walter Hill,Brian Tyler,M
Moonraker,1979,Lewis Gilbert,Roger Moore,M
Moonraker,1979,Lewis Gilbert,Lois Chiles,F
Moonraker,1979,Lewis Gilbert,Michael Lonsdale,M
Moonraker,1979,Lewis Gilbert,Richard Kiel,M
Conan the Barbarian,1982,John Milius,Arnold Schwarzenegger,M
Conan the Barbarian,1982,John Milius,James Earl Jones,M
Conan the Barbarian,1982,John Milius,Max von Sydow,M
Conan the Barbarian,1982,John Milius,Sandahl Bergman,F
First Blood,1982,Ted Kotcheff,Sylvester Stallone,M
First Blood,1982,Ted Kotcheff,Brian Dennehy,M
First Blood,1982,Ted Kotcheff,Richard Crenna,M
First Blood,1982,Ted Kotcheff,Bill McKinney,M
Grease 2,1982,Patricia Birch,Michelle Pfeiffer,F
Grease 2,1982,Patricia Birch,Maxwell Caulfield,M
Grease 2,1982,Patricia Birch,Lorna Luft,F
Grease 2,1982,Patricia Birch,Maureen Teefy,F
Risky Business,1983,Paul Brickman,Tom Cruise,M
Risky Business,1983,Paul Brickman,Rebecca De Mornay,F
Risky Business,1983,Paul Brickman,Joe Pantoliano,M
Risky Business,1983,Paul Brickman,Richard Masur,M
The Color Purple,1985,Steven Spielberg,Danny Glover,M
The Color Purple,1985,Steven Spielberg,Whoopi Goldberg,F
The Color Purple,1985,Steven Spielberg,Oprah Winfrey,F
The Color Purple,1985,Steven Spielberg,Margaret Avery,F
Rambo: First Blood Part II,1985,George P. Cosmatos,Sylvester Stallone,M
Rambo: First Blood Part II,1985,George P. Cosmatos,Richard Crenna,M
Rambo: First Blood Part II,1985,George P. Cosmatos,Charles Napier,M
Rambo: First Blood Part II,1985,George P. Cosmatos,Steven Berkoff,M
Rocky IV,1985,Sylvester Stallone,Talia Shire,F
Rocky IV,1985,Sylvester Stallone,Burt Young,M
Rocky IV,1985,Sylvester Stallone,Carl Weathers,M
Adventures in Babysitting,1987,Chris Columbus,Elisabeth Shue,F
Adventures in Babysitting,1987,Chris Columbus,Maia Brewton,F
Adventures in Babysitting,1987,Chris Columbus,Keith Coogan,M
Adventures in Babysitting,1987,Chris Columbus,Anthony Rapp,M
"Planes, Trains & Automobiles",1987,John Hughes,Steve Martin,M
"Planes, Trains & Automobiles",1987,John Hughes,John Candy,M
"Planes, Trains & Automobiles",1987,John Hughes,Laila Robins,F
"Planes, Trains & Automobiles",1987,John Hughes,Michael McKean,M
The Running Man,1987,Paul Michael Glaser,Arnold Schwarzenegger,M
The Running Man,1987,Paul Michael Glaser,Maria Conchita Alonso,F
The Running Man,1987,Paul Michael Glaser,Yaphet Kotto,M
The Running Man,1987,Paul Michael Glaser,Jim Brown,M
Lethal Weapon 2,1989,Richard Donner,Mel Gibson,M
Lethal Weapon 2,1989,Richard Donner,Danny Glover,M
Lethal Weapon 2,1989,Richard Donner,Joe Pesci,M
Lethal Weapon 2,1989,Richard Donner,Patsy Kensit,F
Road House,1989,Rowdy Herrington,Patrick Swayze,M
Road House,1989,Rowdy Herrington,Kelly Lynch,F
Road House,1989,Rowdy Herrington,Sam Elliott,M
Road House,1989,Rowdy Herrington,Ben Gazzara,M
Steel Magnolias,1989,Herbert Ross,Shirley MacLaine,F
Steel Magnolias,1989,Herbert Ross,Olympia Dukakis,F
Steel Magnolias,1989,Herbert Ross,Sally Field,F
Steel Magnolias,1989,Herbert Ross,Julia Roberts,F
Tremors,1990,Ron Underwood,Kevin Bacon,M
Tremors,1990,Ron Underwood,Fred Ward,M
Tremors,1990,Ron Underwood,Finn Carter,F
Tremors,1990,Ron Underwood,Michael Gross,M
Boyz n the Hood,1991,John Singleton,Cuba Gooding Jr.,M
Boyz n the Hood,1991,John Singleton,Laurence Fishburne,M
Boyz n the Hood,1991,John Singleton,Hudhail Al-Amir,M
Boyz n the Hood,1991,John Singleton,Lloyd Avery II,M
Cape Fear,1991,Martin Scorsese,Robert De Niro,M
Cape Fear,1991,Martin Scorsese,Nick Nolte,M
Cape Fear,1991,Martin Scorsese,Jessica Lange,F
Cape Fear,1991,Martin Scorsese,Juliette Lewis,F
Demolition Man,1993,Marco Brambilla,Sylvester Stallone,M
Demolition Man,1993,Marco Brambilla,Wesley Snipes,M
Demolition Man,1993,Marco Brambilla,Sandra Bullock,F
Demolition Man,1993,Marco Brambilla,Nigel Hawthorne,M
Philadelphia,1993,Jonathan Demme,Tom Hanks,M
Philadelphia,1993,Jonathan Demme,Denzel Washington,M
Philadelphia,1993,Jonathan Demme,Roberta Maxwell,F
Philadelphia,1993,Jonathan Demme,Buzz Kilman,M
Clear and Present Danger,1994,Phillip Noyce,Harrison Ford,M
Clear and Present Danger,1994,Phillip Noyce,Willem Dafoe,M
Clear and Present Danger,1994,Phillip Noyce,Anne Archer,F
Clear and Present Danger,1994,Phillip Noyce,Joaquim de Almeida,M
Four Weddings and a Funeral,1994,Mike Newell,Hugh Grant,M
Four Weddings and a Funeral,1994,Mike Newell,Andie MacDowell,F
Four Weddings and a Funeral,1994,Mike Newell,James Fleet,M
Four Weddings and a Funeral,1994,Mike Newell,Simon Callow,M
Casper,1995,Brad Silberling,Bill Pullman,M
Casper,1995,Brad Silberling,Christina Ricci,F
Casper,1995,Brad Silberling,Cathy Moriarty,F
Casper,1995,Brad Silberling,Eric Idle,M
Desperado,1995,Robert Rodriguez,Antonio Banderas,M
Desperado,1995,Robert Rodriguez,Salma Hayek,F
Desperado,1995,Robert Rodriguez,Joaquim de Almeida,M
Desperado,1995,Robert Rodriguez,Cheech Marin,M
Mallrats,1995,Kevin Smith,Shannen Doherty,F
Mallrats,1995,Kevin Smith,Jeremy London,M
Mallrats,1995,Kevin Smith,Jason Lee,M
Mallrats,1995,Kevin Smith,Claire Forlani,F
Showgirls,1995,Paul Verhoeven,Elizabeth Berkley,F
Showgirls,1995,Paul Verhoeven,Kyle MacLachlan,M
Showgirls,1995,Paul Verhoeven,Gina Gershon,F
Showgirls,1995,Paul Verhoeven,Glenn Plummer,M
The Hunchback of Notre Dame,1996,Gary Trousdale,Kirk Wise,Na
The Hunchback of Notre Dame,1996,Gary Trousdale,Demi Moore,F
The Hunchback of Notre Dame,1996,Gary Trousdale,Jason Alexander,M
The Hunchback of Notre Dame,1996,Gary Trousdale,Mary Kay Bergman,F
The Hunchback of Notre Dame,1996,Gary Trousdale,Corey Burton,M
Kingpin,1996,Bobby Farrelly,Peter Farrelly,Na
Kingpin,1996,Bobby Farrelly,Woody Harrelson,M
Kingpin,1996,Bobby Farrelly,Randy Quaid,M
Kingpin,1996,Bobby Farrelly,Bill Murray,M
Kingpin,1996,Bobby Farrelly,Vanessa Angel,F
The English Patient,1996,Anthony Minghella,Ralph Fiennes,M
The English Patient,1996,Anthony Minghella,Juliette Binoche,F
The English Patient,1996,Anthony Minghella,Willem Dafoe,M
The English Patient,1996,Anthony Minghella,Kristin Scott Thomas,F
Air Force One,1997,Wolfgang Petersen,Harrison Ford,M
Air Force One,1997,Wolfgang Petersen,Gary Oldman,M
Air Force One,1997,Wolfgang Petersen,Glenn Close,F
Air Force One,1997,Wolfgang Petersen,Wendy Crewson,F
I Know What You Did Last Summer,1997,Jim Gillespie,Jennifer Love Hewitt,F
I Know What You Did Last Summer,1997,Jim Gillespie,Sarah Michelle Gellar,F
I Know What You Did Last Summer,1997,Jim Gillespie,Anne Heche,F
I Know What You Did Last Summer,1997,Jim Gillespie,Ryan Phillippe,M
Half Baked,1998,Tamra Davis,Dave Chappelle,M
Half Baked,1998,Tamra Davis,Guillermo Diaz,M
Half Baked,1998,Tamra Davis,Jim Breuer,M
Half Baked,1998,Tamra Davis,Harland Williams,M
Rounders,1998,John Dahl,Matt Damon,M
Rounders,1998,John Dahl,Edward Norton,M
Rounders,1998,John Dahl,Gretchen Mol,F
Rounders,1998,John Dahl,John Malkovich,M
Shakespeare in Love,1998,John Madden,Gwyneth Paltrow,F
Shakespeare in Love,1998,John Madden,Joseph Fiennes,M
Shakespeare in Love,1998,John Madden,Geoffrey Rush,M
Shakespeare in Love,1998,John Madden,Tom Wilkinson,M
The Waterboy,1998,Frank Coraci,Adam Sandler,M
The Waterboy,1998,Frank Coraci,Kathy Bates,F
The Waterboy,1998,Frank Coraci,Henry Winkler,M
The Waterboy,1998,Frank Coraci,Fairuza Balk,F
What Dreams May Come,1998,Vincent Ward,Robin Williams,M
What Dreams May Come,1998,Vincent Ward,Cuba Gooding Jr.,M
What Dreams May Come,1998,Vincent Ward,Annabella Sciorra,F
What Dreams May Come,1998,Vincent Ward,Max von Sydow,M
Any Given Sunday,1999,Oliver Stone,Al Pacino,M
Any Given Sunday,1999,Oliver Stone,Dennis Quaid,M
Any Given Sunday,1999,Oliver Stone,Cameron Diaz,F
Any Given Sunday,1999,Oliver Stone,James Woods,M
Being John Malkovich,1999,Spike Jonze,John Cusack,M
Being John Malkovich,1999,Spike Jonze,Cameron Diaz,F
Being John Malkovich,1999,Spike Jonze,Catherine Keener,F
Being John Malkovich,1999,Spike Jonze,John Malkovich,M
Galaxy Quest,1999,Dean Parisot,Tim Allen,M
Galaxy Quest,1999,Dean Parisot,Sigourney Weaver,F
Galaxy Quest,1999,Dean Parisot,Alan Rickman,M
Galaxy Quest,1999,Dean Parisot,Tony Shalhoub,M
High Fidelity,2000,Stephen Frears,John Cusack,M
High Fidelity,2000,Stephen Frears,Iben Hjejle,F
High Fidelity,2000,Stephen Frears,Todd Louiso,M
High Fidelity,2000,Stephen Frears,Jack Black,M
Original Sin,2001,Michael Cristofer,Antonio Banderas,M
Original Sin,2001,Michael Cristofer,Angelina Jolie,F
Original Sin,2001,Michael Cristofer,Thomas Jane,M
Original Sin,2001,Michael Cristofer,Jack Thompson,M
Rush Hour 2,2001,Brett Ratner,Jackie Chan,M
Rush Hour 2,2001,Brett Ratner,Chris Tucker,M
Rush Hour 2,2001,Brett Ratner,John Lone,M
Rush Hour 2,2001,Brett Ratner,Ziyi Zhang,F
Spy Kids,2001,Robert Rodriguez,Alexa PenaVega,F
Spy Kids,2001,Robert Rodriguez,Daryl Sabara,M
Spy Kids,2001,Robert Rodriguez,Antonio Banderas,M
Spy Kids,2001,Robert Rodriguez,Carla Gugino,F
25th Hour,2002,Spike Lee,Edward Norton,M
25th Hour,2002,Spike Lee,Barry Pepper,M
25th Hour,2002,Spike Lee,Philip Seymour Hoffman,M
25th Hour,2002,Spike Lee,Rosario Dawson,F
About a Boy,2002,Chris Weitz,Paul Weitz,Na
About a Boy,2002,Chris Weitz,Hugh Grant,M
About a Boy,2002,Chris Weitz,Nicholas Hoult,M
About a Boy,2002,Chris Weitz,Toni Collette,F
About a Boy,2002,Chris Weitz,Sharon Small,F
Adaptation.,2002,Spike Jonze,Nicolas Cage,M
Adaptation.,2002,Spike Jonze,Meryl Streep,F
Adaptation.,2002,Spike Jonze,Chris Cooper,M
Adaptation.,2002,Spike Jonze,Tilda Swinton,F
Mr. Deeds,2002,Steven Brill,Adam Sandler,M
Mr. Deeds,2002,Steven Brill,Winona Ryder,F
Mr. Deeds,2002,Steven Brill,John Turturro,M
Mr. Deeds,2002,Steven Brill,Allen Covert,M
My Big Fat Greek Wedding,2002,Joel Zwick,Nia Vardalos,F
My Big Fat Greek Wedding,2002,Joel Zwick,John Corbett,M
My Big Fat Greek Wedding,2002,Joel Zwick,Michael Constantine,M
My Big Fat Greek Wedding,2002,Joel Zwick,Christina Eleusiniotis,F
Treasure Planet,2002,Ron Clements,John Musker,Na
Treasure Planet,2002,Ron Clements,Joseph Gordon-Levitt,M
Treasure Planet,2002,Ron Clements,Emma Thompson,F
Treasure Planet,2002,Ron Clements,Martin Short,M
Treasure Planet,2002,Ron Clements,Roscoe Lee Browne,M
Freaky Friday,2003,Mark Waters,Jamie Lee Curtis,F
Freaky Friday,2003,Mark Waters,Lindsay Lohan,F
Freaky Friday,2003,Mark Waters,Mark Harmon,M
Freaky Friday,2003,Mark Waters,Harold Gould,M
House of 1000 Corpses,2003,Rob Zombie,Sid Haig,M
House of 1000 Corpses,2003,Rob Zombie,Karen Black,F
